onetsoc_code,cip_code,match_strength,qualifier,note
11-3061.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3061.00,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3071.00,45.1001,0.93,,"seeded from ""Political Science"""
11-3071.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3071.00,52.0201,0.80,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
11-3071.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3071.00,52.0299,0.98,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3071.04,52.0201,0.87,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3071.04,52.0201,0.87,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3071.04,52.0299,0.98,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3111.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3111.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3111.00,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3121.00,52.0201,0.80,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3121.00,52.0201,0.80,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3121.00,52.1001,0.98,,"seeded from ""Human Resource Management"""
11-3131.00,42.2703,0.91,,"seeded from ""Human Development and Family Studies"""
11-3131.00,52.0201,0.91,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3131.00,52.0201,0.91,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3131.00,52.0299,0.77,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3131.00,52.1001,0.98,,"seeded from ""Human Resource Management"""
11-9013.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9013.00,52.0201,0.92,"Management Major, B.S.","seeded from ""Management""; CIP shared"
