onetsoc_code,cip_code,match_strength,qualifier,note
17-3021.00,29.0402,0.98,,"seeded from ""Aerospace Systems and Mission Design"""
17-3022.00,14.1401,0.72,,"seeded from ""Environmental Engineering"""
17-3022.00,15.0201,0.94,,"seeded from ""Civil Engineering Technology"""
17-3022.00,52.2001,0.80,,"seeded from ""Construction Project Management"""
17-3023.00,14.1001,0.98,,"seeded from ""Electrical Engineering"""
17-3023.00,15.0201,0.85,,"seeded from ""Civil Engineering Technology"""
17-3023.00,15.0805,0.88,,"seeded from ""Mechanical Engineering Technology"""
17-3024.00,14.1001,0.81,,"seeded from ""Electrical Engineering"""
17-3024.00,15.0805,0.98,,"seeded from ""Mechanical Engineering Technology"""
17-3024.00,29.0402,0.86,,"seeded from ""Aerospace Systems and Mission Design"""
17-3024.01,09.0702,0.75,,"seeded from ""Media Production and Leadership"""
17-3024.01,10.0105,0.95,,"seeded from ""Video Production"""
17-3024.01,15.0613,0.75,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
17-3024.01,15.0613,0.75,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
17-3025.00,03.0103,0.75,,"seeded from ""Environmental Sustainability"""
17-3025.00,03.0104,0.78,,"seeded from ""Environmental Science"""
17-3025.00,14.1401,0.98,,"seeded from ""Environmental Engineering"""
17-3026.00,14.0901,0.83,,"seeded from ""Computer Engineering"""
17-3026.00,14.1001,0.87,,"seeded from ""Electrical Engineering"""
17-3026.00,15.0201,0.87,,"seeded from ""Civil Engineering Technology"""
17-3026.00,15.0613,0.98,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
17-3026.00,15.0613,0.94,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
17-3026.00,15.0805,0.91,,"seeded from ""Mechanical Engineering Technology"""
17-3026.01,14.0901,0.89,,"seeded from ""Computer Engineering"""
17-3026.01,14.1001,0.95,,"seeded from ""Electrical Engineering"""
17-3026.01,15.0201,0.95,,"seeded from ""Civil Engineering Technology"""
17-3026.01,15.0613,0.92,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
17-3026.01,15.0613,0.98,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
17-3026.01,15.0805,0.95,,"seeded from ""Mechanical Engineering Technology"""
17-3027.00,15.0613,0.78,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
17-3027.00,15.0805,0.94,,"seeded from ""Mechanical Engineering Technology"""
17-3027.00,40.0801,0.70,,"seeded from ""Physics"""
17-3027.01,14.0901,0.82,,"seeded from ""Computer Engineering"""
17-3027.01,14.1001,0.86,,"seeded from ""Electrical Engineering"""
17-3027.01,14.1401,0.82,,"seeded from ""Environmental Engineering"""
17-3027.01,15.0201,0.98,,"seeded from ""Civil Engineering Technology"""
17-3027.01,15.0613,0.87,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
17-3027.01,15.0805,0.86,,"seeded from ""Mechanical Engineering Technology"""
17-3028.00,14.0901,0.98,,"seeded from ""Computer Engineering"""
17-3028.00,14.1001,0.98,,"seeded from ""Electrical Engineering"""
17-3028.00,15.0201,0.98,,"seeded from ""Civil Engineering Technology"""
17-3028.00,15.0613,0.83,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
17-3028.00,15.0805,0.98,,"seeded from ""Mechanical Engineering Technology"""
17-3028.00,40.0801,0.98,,"seeded from ""Physics"""
17-3029.00,14.0901,0.87,,"seeded from ""Computer Engineering"""
17-3029.00,14.1001,0.92,,"seeded from ""Electrical Engineering"""
17-3029.00,14.1401,0.87,,"seeded from ""Environmental Engineering"""
17-3029.00,15.0201,0.98,,"seeded from ""Civil Engineering Technology"""
17-3029.00,15.0805,0.92,,"seeded from ""Mechanical Engineering Technology"""
17-3029.01,13.1001,0.93,,"seeded from ""Special Education"""
17-3029.08,23.1304,0.90,,"seeded from ""Communication Studies"""
17-3029.08,52.0201,0.90,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
17-3029.08,52.0201,0.90,"Management Major, B.S.","seeded from ""Management""; CIP shared"
17-3031.00,14.1401,0.72,,"seeded from ""Environmental Engineering"""
17-3031.00,15.0201,0.94,,"seeded from ""Civil Engineering Technology"""
17-3031.00,52.2001,0.80,,"seeded from ""Construction Project Management"""
19-1011.00,26.0202,0.80,,"seeded from ""Biochemistry"""
19-1011.00,30.1901,0.98,"Nutrition and Dietetics Major, B.S.","seeded from ""Nutrition and Dietetics""; CIP shared"
19-1011.00,30.1901,0.98,"Nutrition Science Major, B.S.","seeded from ""Nutrition Science""; CIP shared"
19-1011.00,40.0801,0.83,,"seeded from ""Physics"""
19-1011.00,51.0001,0.98,"Sport Nutrition Major, B.S.","seeded from ""Sport Nutrition""; CIP shared"
19-1011.00,51.9999,0.83,,"resolved from ""Lifestyle Medicine"""
19-1012.00,14.0901,0.83,,"seeded from ""Computer Engineering"""
19-1012.00,15.0201,0.83,,"seeded from ""Civil Engineering Technology"""
19-1012.00,15.0613,0.83,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
19-1012.00,26.0202,0.83,,"seeded from ""Biochemistry"""
19-1012.00,40.0501,0.98,,"seeded from ""Chemistry"""
19-1012.00,40.0801,0.96,,"seeded from ""Physics"""
19-1013.00,26.0101,0.94,,"seeded from ""Biology"""
19-1013.00,26.0202,0.94,,"seeded from ""Biochemistry"""
19-1013.00,40.0501,0.94,,"seeded from ""Chemistry"""
19-1013.00,40.0801,0.94,,"seeded from ""Physics"""
19-1013.00,52.0201,0.94,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
19-1013.00,52.0201,0.94,"Management Major, B.S.","seeded from ""Management""; CIP shared"
19-1021.00,14.1001,0.98,,"seeded from ""Electrical Engineering"""
19-1021.00,15.0805,0.98,,"seeded from ""Mechanical Engineering Technology"""
19-1021.00,26.0202,0.83,,"seeded from ""Biochemistry"""
19-1021.00,27.0101,0.80,,"seeded from ""Mathematics"""
19-1021.00,40.0501,0.83,,"seeded from ""Chemistry"""
19-1021.00,40.0601,0.80,,"seeded from ""Applied Geology"""
19-1022.00,26.0101,0.94,,"seeded from ""Biology"""
19-1022.00,51.2201,0.94,,"seeded from ""Public Health"""
19-1022.00,51.3399,0.94,,"resolved from ""Integrative Health Care"""
19-1023.00,03.0103,0.87,,"seeded from ""Environmental Sustainability"""
19-1023.00,03.0104,0.93,,"seeded from ""Environmental Science"""
19-1023.00,14.1401,0.88,,"seeded from ""Environmental Engineering"""
19-1023.00,26.0101,0.98,,"seeded from ""Biology"""
19-1029.00,26.0101,0.90,,"seeded from ""Biology"""
19-1029.00,26.0202,0.90,,"seeded from ""Biochemistry"""
19-1029.00,40.0801,0.90,,"seeded from ""Physics"""
19-1029.01,11.0701,0.86,,"seeded from ""Computer Science"""
19-1029.01,26.0101,0.98,,"seeded from ""Biology"""
19-1029.01,26.0202,0.98,,"seeded from ""Biochemistry"""
19-1029.01,40.0501,0.85,,"seeded from ""Chemistry"""
19-1029.01,51.2706,0.98,,"seeded from ""Health Care Information Systems Major"""
19-1029.01,52.1201,0.93,,"seeded from ""Computer Information Systems"""
19-1029.02,26.0101,0.94,,"seeded from ""Biology"""
19-1029.02,26.0202,0.94,,"seeded from ""Biochemistry"""
19-1029.02,40.0601,0.72,,"seeded from ""Applied Geology"""
19-1029.03,26.0101,0.72,,"seeded from ""Biology"""
19-1029.03,26.0202,0.94,,"seeded from ""Biochemistry"""
19-1029.03,40.0601,0.72,,"seeded from ""Applied Geology"""
19-1029.04,26.0101,0.94,,"seeded from ""Biology"""
19-1029.04,26.0202,0.72,,"seeded from ""Biochemistry"""
19-1029.04,40.0601,0.72,,"seeded from ""Applied Geology"""
19-1031.00,03.0103,0.86,,"seeded from ""Environmental Sustainability"""
19-1031.00,03.0104,0.86,,"seeded from ""Environmental Science"""
19-1031.00,26.0101,0.98,,"seeded from ""Biology"""
19-1031.02,03.0104,0.86,,"seeded from ""Environmental Science"""
19-1031.02,26.0101,0.86,,"seeded from ""Biology"""
19-1031.02,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
19-1031.02,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
19-1031.02,52.0299,0.83,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
19-1031.03,09.0900,0.90,,"seeded from ""Public Relations"""
19-1031.03,51.2201,0.90,,"seeded from ""Public Health"""
19-1032.00,03.0103,0.93,,"seeded from ""Environmental Sustainability"""
19-1032.00,03.0104,0.98,,"seeded from ""Environmental Science"""
19-1032.00,14.1401,0.88,,"seeded from ""Environmental Engineering"""
19-1032.00,26.0101,0.82,,"seeded from ""Biology"""
19-1041.00,30.1901,0.78,"Nutrition Science Major, B.S.","seeded from ""Nutrition Science""; CIP shared"
19-1041.00,51.0701,0.78,"Health Care Management Major, B.S.","seeded from ""Health Care Management""; CIP shared"
19-1041.00,51.2201,0.98,,"seeded from ""Public Health"""
19-1041.00,51.2706,0.78,,"seeded from ""Health Care Information Systems Major"""
19-1041.00,51.3399,0.78,,"resolved from ""Integrative Health Care"""
19-1042.00,26.0202,0.98,,"seeded from ""Biochemistry"""
19-1042.00,51.2201,0.94,,"seeded from ""Public Health"""
19-1042.00,51.3399,0.87,,"resolved from ""Integrative Health Care"""
19-1099.00,26.0101,0.98,,"seeded from ""Biology"""
19-1099.00,40.0801,0.71,,"seeded from ""Physics"""
19-2011.00,26.0202,0.72,,"seeded from ""Biochemistry"""
19-2011.00,40.0601,0.72,,"seeded from ""Applied Geology"""
19-2011.00,40.0801,0.94,,"seeded from ""Physics"""
19-2012.00,26.0202,0.72,,"seeded from ""Biochemistry"""
19-2012.00,40.0601,0.72,,"seeded from ""Applied Geology"""
19-2012.00,40.0801,0.94,,"seeded from ""Physics"""
19-2021.00,29.0402,0.85,,"seeded from ""Aerospace Systems and Mission Design"""
19-2021.00,40.0401,0.98,,"seeded from ""Meteorology"""
19-2021.00,52.1399,0.70,,"seeded from ""Business Intelligence"""
19-2031.00,15.0613,0.95,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
19-2031.00,27.0101,0.75,,"seeded from ""Mathematics"""
19-2031.00,27.0501,0.75,,"seeded from ""Statistical Science"""
19-2031.00,40.0501,0.95,,"seeded from ""Chemistry"""
19-2031.00,52.0299,0.75,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
19-2032.00,40.0501,0.98,,"seeded from ""Chemistry"""
19-2032.00,40.0601,0.64,,"seeded from ""Applied Geology"""
19-2032.00,40.0801,0.86,,"seeded from ""Physics"""
19-2041.00,03.0103,0.87,,"seeded from ""Environmental Sustainability"""
19-2041.00,03.0104,0.98,,"seeded from ""Environmental Science"""
19-2041.00,14.1401,0.88,,"seeded from ""Environmental Engineering"""
19-2041.00,51.2201,0.98,,"seeded from ""Public Health"""
19-2041.01,03.0103,0.98,,"seeded from ""Environmental Sustainability"""
19-2041.01,03.0104,0.98,,"seeded from ""Environmental Science"""
19-2041.01,26.0101,0.81,,"seeded from ""Biology"""
19-2041.01,27.0101,0.85,,"seeded from ""Mathematics"""
19-2041.01,40.0401,0.98,,"seeded from ""Meteorology"""
19-2041.01,40.0601,0.81,,"seeded from ""Applied Geology"""
19-2041.02,03.0103,0.98,,"seeded from ""Environmental Sustainability"""
19-2041.02,03.0104,0.98,,"seeded from ""Environmental Science"""
19-2041.02,14.1401,0.93,,"seeded from ""Environmental Engineering"""
19-2041.02,26.0101,0.89,,"seeded from ""Biology"""
19-2041.03,15.0613,0.93,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
19-2041.03,15.0613,0.93,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
19-2041.03,50.0404,0.98,,"seeded from ""Industrial Design"""
19-2042.00,03.0103,0.85,,"seeded from ""Environmental Sustainability"""
19-2042.00,03.0104,0.85,,"seeded from ""Environmental Science"""
19-2042.00,14.1401,0.94,,"seeded from ""Environmental Engineering"""
19-2042.00,40.0601,0.98,,"seeded from ""Applied Geology"""
19-2042.00,40.0801,0.85,,"seeded from ""Physics"""
19-2043.00,26.0101,0.68,,"seeded from ""Biology"""
19-2043.00,26.0202,0.68,,"seeded from ""Biochemistry"""
19-2043.00,40.0601,0.98,,"seeded from ""Applied Geology"""
19-2099.00,13.1314,0.98,,"seeded from ""K-12 Physical Education"""
19-2099.00,40.0801,0.72,,"seeded from ""Physics"""
19-2099.01,52.0201,0.94,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
19-2099.01,52.0201,0.94,"Management Major, B.S.","seeded from ""Management""; CIP shared"
19-2099.01,52.1001,0.94,,"seeded from ""Human Resource Management"""
19-2099.01,52.1399,0.94,,"seeded from ""Business Intelligence"""
19-3011.00,26.0202,0.72,,"seeded from ""Biochemistry"""
19-3011.00,27.0501,0.94,,"seeded from ""Statistical Science"""
19-3011.00,40.0601,0.72,,"seeded from ""Applied Geology"""
19-3011.01,03.0103,0.98,,"seeded from ""Environmental Sustainability"""
19-3011.01,03.0104,0.93,,"seeded from ""Environmental Science"""
19-3011.01,14.1401,0.94,,"seeded from ""Environmental Engineering"""
19-3022.00,14.1401,0.72,,"seeded from ""Environmental Engineering"""
19-3022.00,15.0201,0.94,,"seeded from ""Civil Engineering Technology"""
19-3022.00,52.2001,0.80,,"seeded from ""Construction Project Management"""
19-3032.00,50.0404,0.86,,"seeded from ""Industrial Design"""
19-3032.00,52.1001,0.98,,"seeded from ""Human Resource Management"""
19-3032.00,52.1401,0.88,,"seeded from ""Marketing"""
19-3033.00,42.2799,0.78,,"seeded from ""Psychology Major"""
19-3033.00,50.0404,0.78,,"seeded from ""Industrial Design"""
19-3033.00,50.0703,0.90,,"seeded from ""Art History, Theory, and Criticism"""
19-3033.00,51.3399,0.90,,"resolved from ""Integrative Health Care"""
19-3034.00,13.1302,0.72,,"seeded from ""Art Education"""
19-3034.00,23.0101,0.90,,"seeded from ""English"""
19-3034.00,50.0404,0.94,,"seeded from ""Industrial Design"""
19-3039.00,42.2799,0.90,,"seeded from ""Psychology Major"""
19-3039.02,26.0101,0.90,,"seeded from ""Biology"""
19-3039.02,26.0202,0.90,,"seeded from ""Biochemistry"""
19-3039.02,40.0501,0.90,,"seeded from ""Chemistry"""
19-3039.02,44.0000,0.94,,"seeded from ""Human Services"""
19-3039.02,51.3399,0.94,,"resolved from ""Integrative Health Care"""
19-3039.03,51.3399,0.83,,"resolved from ""Integrative Health Care"""
19-3041.00,44.0000,0.83,,"seeded from ""Human Services"""
19-3041.00,45.1001,0.98,,"seeded from ""Political Science"""
19-3041.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
19-3041.00,52.0201,0.98,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
19-3041.00,52.1001,0.83,,"seeded from ""Human Resource Management"""
19-3041.00,52.1399,0.83,,"seeded from ""Business Intelligence"""
19-3051.00,13.1314,0.68,,"seeded from ""K-12 Physical Education"""
19-3051.00,45.0701,0.98,,"seeded from ""Geography"""
19-3051.00,52.0907,0.68,,"seeded from ""Event and Meeting Management"""
19-3091.00,42.2703,0.95,,"seeded from ""Human Development and Family Studies"""
19-3091.00,45.0201,0.75,,"seeded from ""Anthropology"""
19-3091.00,50.0703,0.75,,"seeded from ""Art History, Theory, and Criticism"""
19-3091.00,51.0201,0.95,,"seeded from ""Speech, Language, Hearing Sciences"""
19-3091.00,52.1001,0.75,,"seeded from ""Human Resource Management"""
19-3091.00,54.0101,0.95,,"seeded from ""History"""
19-3092.00,03.0103,0.83,,"seeded from ""Environmental Sustainability"""
19-3092.00,03.0104,0.83,,"seeded from ""Environmental Science"""
19-3092.00,40.0601,0.83,,"seeded from ""Applied Geology"""
19-3092.00,44.0000,0.83,,"seeded from ""Human Services"""
19-3092.00,45.0701,0.83,,"seeded from ""Geography"""
19-3092.00,45.1001,0.98,,"seeded from ""Political Science"""
19-3093.00,09.0402,0.83,,"seeded from ""Broadcast Journalism"""
19-3093.00,09.0702,0.98,,"seeded from ""Media Production and Leadership"""
19-3093.00,10.0105,0.98,,"resolved from ""Film Studies and Production"""
19-3093.00,45.1001,0.83,,"seeded from ""Political Science"""
19-3093.00,50.0703,0.83,,"seeded from ""Art History, Theory, and Criticism"""
19-3093.00,54.0101,0.98,,"seeded from ""History"""
19-3094.00,43.0104,0.64,,"seeded from ""Criminal Justice and Criminology"""
19-3094.00,45.1001,0.98,,"seeded from ""Political Science"""
19-3094.00,51.2201,0.74,,"seeded from ""Public Health"""
19-3099.00,40.0801,0.68,,"seeded from ""Physics"""
19-3099.00,44.0701,0.98,,"seeded from ""Social Work"""
19-3099.00,45.0201,0.89,,"seeded from ""Anthropology"""
19-3099.01,52.0907,0.90,,"seeded from ""Event and Meeting Management"""
19-3099.01,52.1399,0.90,,"seeded from ""Business Intelligence"""
19-4012.00,26.0101,0.98,,"seeded from ""Biology"""
19-4012.00,30.1901,0.86,"Nutrition and Dietetics Major, B.S.","seeded from ""Nutrition and Dietetics""; CIP shared"
19-4012.00,30.1901,0.93,"Nutrition Science Major, B.S.","seeded from ""Nutrition Science""; CIP shared"
19-4012.00,40.0501,0.85,,"seeded from ""Chemistry"""
19-4012.00,51.0001,0.86,"Sport Nutrition Major, B.S.","seeded from ""Sport Nutrition""; CIP shared"
19-4012.01,52.0201,0.76,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
19-4012.01,52.0201,0.76,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
19-4012.01,52.1399,0.98,,"seeded from ""Business Intelligence"""
19-4013.00,27.0101,0.76,,"seeded from ""Mathematics"""
19-4013.00,40.0501,0.98,,"seeded from ""Chemistry"""
19-4013.00,40.0801,0.76,,"seeded from ""Physics"""
19-4021.00,26.0101,0.86,,"seeded from ""Biology"""
19-4021.00,26.0202,0.98,,"seeded from ""Biochemistry"""
19-4021.00,40.0501,0.76,,"seeded from ""Chemistry"""
19-4031.00,03.0103,0.80,,"seeded from ""Environmental Sustainability"""
19-4031.00,03.0104,0.80,,"seeded from ""Environmental Science"""
19-4031.00,40.0501,0.98,,"seeded from ""Chemistry"""
19-4042.00,03.0103,0.87,,"seeded from ""Environmental Sustainability"""
19-4042.00,03.0104,0.98,,"seeded from ""Environmental Science"""
19-4042.00,14.1401,0.95,,"seeded from ""Environmental Engineering"""
19-4042.00,40.0801,0.82,,"seeded from ""Physics"""
19-4042.00,51.2201,0.84,,"seeded from ""Public Health"""
19-4043.00,26.0101,0.94,,"seeded from ""Biology"""
19-4043.00,30.1901,0.94,"Nutrition Science Major, B.S.","seeded from ""Nutrition Science""; CIP shared"
19-4043.00,40.0501,0.94,,"seeded from ""Chemistry"""
19-4044.00,14.1401,0.94,,"seeded from ""Environmental Engineering"""
19-4044.00,26.0101,0.94,,"seeded from ""Biology"""
19-4044.00,40.0501,0.94,,"seeded from ""Chemistry"""
19-4044.00,40.0601,0.94,,"seeded from ""Applied Geology"""
19-4044.00,45.1001,0.94,,"seeded from ""Political Science"""
19-4044.00,51.2201,0.90,,"seeded from ""Public Health"""
19-4051.00,26.0101,0.82,,"seeded from ""Biology"""
19-4051.00,40.0501,0.98,,"seeded from ""Chemistry"""
19-4051.00,40.0801,0.89,,"seeded from ""Physics"""
19-4051.02,40.0801,0.90,,"seeded from ""Physics"""
19-4051.02,42.2703,0.90,,"seeded from ""Human Development and Family Studies"""
19-4051.02,44.0000,0.90,,"seeded from ""Human Services"""
19-4051.02,52.1001,0.90,,"seeded from ""Human Resource Management"""
19-4061.00,15.0613,0.88,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
19-4061.00,26.0101,0.82,,"seeded from ""Biology"""
19-4061.00,40.0501,0.98,,"seeded from ""Chemistry"""
19-4061.00,40.0801,0.82,,"seeded from ""Physics"""
19-4061.00,44.0701,0.86,,"seeded from ""Social Work"""
19-4071.00,03.0103,0.82,,"seeded from ""Environmental Sustainability"""
19-4071.00,03.0104,0.94,,"seeded from ""Environmental Science"""
19-4071.00,26.0101,0.98,,"seeded from ""Biology"""
19-4071.00,43.0202,0.84,,"seeded from ""Fire and Emergency Response Administration"""
19-4092.00,42.2799,0.70,,"seeded from ""Psychology Major"""
19-4092.00,43.0104,0.96,,"seeded from ""Criminal Justice and Criminology"""
19-4092.00,45.1001,0.68,,"seeded from ""Political Science"""
19-4099.00,13.1314,0.94,,"seeded from ""K-12 Physical Education"""
19-4099.00,15.0613,0.98,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
19-4099.00,44.0701,0.94,,"seeded from ""Social Work"""
19-4099.01,15.0613,0.98,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
19-4099.01,15.0613,0.86,"Advanced Manufacturing Sciences Major, B.S.","seeded from ""Advanced Manufacturing Sciences""; CIP shared"
19-4099.01,40.0501,0.98,,"seeded from ""Chemistry"""
19-4099.01,52.0299,0.98,"Brewery Operations Major, B.S.","seeded from ""Brewery Operations""; CIP shared"
19-4099.03,29.0402,0.94,,"seeded from ""Aerospace Systems and Mission Design"""
19-5011.00,51.0701,0.87,"Health Care Management Major, B.S.","seeded from ""Health Care Management""; CIP shared"
19-5011.00,51.2201,0.98,,"seeded from ""Public Health"""
19-5011.00,51.2706,0.87,,"seeded from ""Health Care Information Systems Major"""
19-5011.00,51.3399,0.87,,"resolved from ""Integrative Health Care"""
19-5012.00,26.0202,0.80,,"seeded from ""Biochemistry"""
19-5012.00,51.0701,0.98,"Health Care Management Major, B.S.","seeded from ""Health Care Management""; CIP shared"
19-5012.00,51.2201,0.98,,"seeded from ""Public Health"""
19-5012.00,51.2706,0.98,,"seeded from ""Health Care Information Systems Major"""
19-5012.00,51.3399,0.98,,"resolved from ""Integrative Health Care"""
21-1011.00,42.2703,0.76,,"seeded from ""Human Development and Family Studies"""
21-1011.00,42.2799,0.86,,"seeded from ""Psychology Major"""
21-1011.00,44.0000,0.98,,"seeded from ""Human Services"""
21-1012.00,13.1210,0.93,,"seeded from ""Early Childhood Education"""
21-1012.00,13.1302,0.93,,"seeded from ""Art Education"""
21-1012.00,51.0701,0.93,"Health Care Management Major, B.S.","seeded from ""Health Care Management""; CIP shared"
21-1012.00,51.2706,0.93,,"seeded from ""Health Care Information Systems Major"""
21-1013.00,05.0201,0.65,,"seeded from ""Africana Studies"""
21-1013.00,42.2703,0.98,,"seeded from ""Human Development and Family Studies"""
21-1013.00,42.2799,0.77,,"seeded from ""Psychology Major"""
21-1014.00,42.2703,0.82,,"seeded from ""Human Development and Family Studies"""
21-1014.00,42.2799,0.88,,"seeded from ""Psychology Major"""
21-1014.00,44.0000,0.98,,"seeded from ""Human Services"""
21-1014.00,44.0701,0.84,,"seeded from ""Social Work"""
21-1014.00,51.2201,0.83,,"seeded from ""Public Health"""
21-1015.00,50.0404,0.94,,"seeded from ""Industrial Design"""
21-1015.00,50.0702,0.72,,"seeded from ""Art"""
21-1015.00,50.0703,0.72,,"seeded from ""Art History, Theory, and Criticism"""
21-1019.00,42.2703,0.90,,"seeded from ""Human Development and Family Studies"""
21-1019.00,42.2799,0.90,,"seeded from ""Psychology Major"""
21-1019.00,44.0000,0.90,,"seeded from ""Human Services"""
21-1021.00,42.2703,0.91,,"seeded from ""Human Development and Family Studies"""
21-1021.00,44.0000,0.78,,"seeded from ""Human Services"""
21-1021.00,44.0701,0.98,,"seeded from ""Social Work"""
21-1022.00,44.0701,0.98,,"seeded from ""Social Work"""
21-1022.00,51.0701,0.83,"Health Care Management Major, B.S.","seeded from ""Health Care Management""; CIP shared"
21-1022.00,51.2201,0.86,,"seeded from ""Public Health"""
21-1022.00,51.2706,0.87,,"seeded from ""Health Care Information Systems Major"""
21-1022.00,51.3399,0.91,,"resolved from ""Integrative Health Care"""
21-1023.00,42.2799,0.80,,"seeded from ""Psychology Major"""
21-1023.00,44.0000,0.87,,"seeded from ""Human Services"""
21-1023.00,44.0701,0.98,,"seeded from ""Social Work"""
21-1029.00,44.0701,0.98,,"seeded from ""Social Work"""
21-1091.00,13.1001,0.88,,"seeded from ""Special Education"""
21-1091.00,13.1210,0.86,,"seeded from ""Early Childhood Education"""
21-1091.00,13.1302,0.86,,"seeded from ""Art Education"""
21-1091.00,51.3399,0.98,,"resolved from ""Integrative Health Care"""
21-1091.00,51.9999,0.92,,"resolved from ""Lifestyle Medicine"""
21-1092.00,42.2799,0.70,,"seeded from ""Psychology Major"""
21-1092.00,43.0104,0.96,,"seeded from ""Criminal Justice and Criminology"""
21-1092.00,45.1001,0.68,,"seeded from ""Political Science"""
21-1093.00,42.2703,0.82,,"seeded from ""Human Development and Family Studies"""
21-1093.00,44.0000,0.98,,"seeded from ""Human Services"""
21-1093.00,44.0701,0.98,,"seeded from ""Social Work"""
21-1094.00,44.0701,0.86,,"seeded from ""Social Work"""
21-1094.00,51.0701,0.82,"Health Care Management Major, B.S.","seeded from ""Health Care Management""; CIP shared"
21-1094.00,51.2201,0.98,,"seeded from ""Public Health"""
21-1094.00,51.2706,0.82,,"seeded from ""Health Care Information Systems Major"""
21-1094.00,51.3399,0.87,,"resolved from ""Integrative Health Care"""
21-1099.00,05.0201,0.80,,"seeded from ""Africana Studies"""
21-1099.00,05.0203,0.80,,"seeded from ""Chicano Studies"""
21-1099.00,44.0000,0.80,,"seeded from ""Human Services"""
21-1099.00,44.0701,0.98,,"seeded from ""Social Work"""
21-1099.00,45.1101,0.80,,"seeded from ""Sociology"""
21-2011.00,23.1304,0.90,,"seeded from ""Communication Studies"""
21-2011.00,52.0201,0.90,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
21-2011.00,52.0201,0.90,"Management Major, B.S.","seeded from ""Management""; CIP shared"
21-2021.00,13.1001,0.91,,"seeded from ""Special Education"""
21-2021.00,13.1210,0.98,,"seeded from ""Early Childhood Education"""
21-2021.00,13.1302,0.98,,"seeded from ""Art Education"""
21-2021.00,13.1312,0.91,,"seeded from ""Music Education"""
21-2021.00,13.1314,0.91,,"seeded from ""K-12 Physical Education"""
21-2099.00,44.0701,0.93,,"seeded from ""Social Work"""
23-1011.00,15.0201,0.98,,"seeded from ""Civil Engineering Technology"""
23-1011.00,38.0101,0.83,,"seeded from ""Philosophy"""
23-1011.00,43.0104,0.98,,"seeded from ""Criminal Justice and Criminology"""
23-1011.00,45.1001,0.83,,"seeded from ""Political Science"""
23-1011.00,52.2001,0.83,,"seeded from ""Construction Project Management"""
23-1012.00,38.0101,0.94,,"seeded from ""Philosophy"""
23-1012.00,40.0601,0.72,,"seeded from ""Applied Geology"""
23-1012.00,45.1001,0.94,,"seeded from ""Political Science"""
23-1021.00,44.0000,0.74,,"seeded from ""Human Services"""
23-1021.00,45.1001,0.88,,"seeded from ""Political Science"""
23-1021.00,51.0201,0.98,,"seeded from ""Speech, Language, Hearing Sciences"""
23-1022.00,09.0702,0.93,,"seeded from ""Media Production and Leadership"""
23-1023.00,15.0201,0.90,,"seeded from ""Civil Engineering Technology"""
23-1023.00,43.0104,0.98,,"seeded from ""Criminal Justice and Criminology"""
23-1023.00,45.1001,0.90,,"seeded from ""Political Science"""
23-1023.00,52.2001,0.78,,"seeded from ""Construction Project Management"""
