Program OID,Program Name,Program Type,Degree Type,Description snippet
"13682","K-12 World Languages Teacher Licensure: Post-Baccalaureate Program","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td>Department of Secondary, K-12 and Educational Technology&nbsp;</td> </tr> <tr> <td>School of Education&nbsp;</td>"
"13686","Culturally and Linguistically Diverse Education Endorsement Program","Added Endorsement Programs","Teacher Licensure Programs","<p>The Culturally and Linguistically Diverse (CLD) Education Endorsement is an additional credential that all licensed educators in the state of Colorado can add to their teaching license. &nbsp;The C"
"13688","Nursing Major - Traditional Nursing Option, B.S.N.","Undergraduate Majors","Bachelor of Science","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Nursing&nbsp;</p> <p>College of Health and Human Sciences&nbsp;</p> </td> <td>&nbsp;</td> <td s"
"13704","Elementary Education Major, B.A.","Undergraduate Majors","Bachelor of Arts","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Elementary Education and Literacy&nbsp;</p> <p>School of Education&nbsp;</p> </td> <td>&nbsp;</"
"13740","Physics Major, B.A. with Secondary Science Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Physics&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <td>&nbsp;</td> <td "
"13750","K-12 World Languages Licensure","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<p>Degree-seeking candidates who wish to obtain Colorado licensure for K-12 World Languages must earn a Bachelor of Arts (B.A.) degree in Modern Languages. Candidates must complete 42 credit hours in "
"13762","Business Minor","Undergraduate Minors","Minor","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td>Department of Management&nbsp;</td> <td>&nbsp;</td> </tr> <tr> <td>College of Business&nbsp;</td> <td style=""text"
"13770","Geology - See Applied Geology Major, B.S.","Undergraduate Majors","Bachelor of Science","<p>Please see the Applied Geology Major, B.S.&nbsp;</p>"
"13790","Biology Major, B.A. with Secondary Science Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Biology&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <td>&nbsp;</td> <td "
"13791","Environmental Science Major, B.S., with Secondary Science Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Earth and Atmospheric Sciences&nbsp;</p> <p>College of Letters, Arts and Sciences</p> &nbsp;</t"
