major_name
Accounting
Advanced Manufacturing Operations
Advanced Manufacturing Sciences
Aerospace Systems and Mission Design
Africana Studies
Aging Services Leadership
Anthropology
Applied Geology
Art Education
"Art History, Theory, and Criticism"
Art
Aviation and Aerospace Management
Aviation and Aerospace Science
Biochemistry
Biology 
Brewery Operations 
Broadcast Journalism
Business Administration
Business Intelligence
Chemistry
Chicano Studies
Civil Engineering Technology
Communication Design
Communication Studies
Computer Engineering
Computer Information Systems
Computer Science
Computer Security
Construction Project Management
Criminal Justice and Criminology
Cybersecurity
Dance
Data Science and Machine Learning 
Early Childhood Education
Economics
Electrical Engineering
Elementary Education
English
Entrepreneurship
Environmental Engineering
Environmental Science
Environmental Sustainability
Event and Meeting Management
Exercise Science
Film Studies and Production
Finance
Fire and Emergency Response Administration
"Gender, Women, and Sexualities Studies"
Geography
Health Care Information Systems Major
Health Care Management
Health Care Professional Services
History
Hospitality Leadership
Hotel Management
Human Development and Family Studies
Human Resource Management
Human Services
Industrial Design
Instructional Design and Technology
Integrative Health Care
International Business
Journalism
K-12 Physical Education
Lifestyle Medicine
Linguistics
Management
Marketing
Mathematics
Mechanical Engineering Technology
Media Production and Leadership
Meteorology
Music Education
Music
Nursing
Nutrition and Dietetics
Nutrition Science
Operations Management
Philosophy
Physics
Political Science
Professional Selling
Psychology Major
Public Health
Public Relations
Real Estate
Social Work
Sociology
Special Education
"Speech, Language, Hearing Sciences"
Sport Management
Sport Nutrition
Statistical Science
Technical Writing and Editing
Theatre 
Video Production
World Languages
